zipCode,Rent
60657,1763
60614,2041
77084,1360
79936,1031
60640,1469
11226,2159
94109,3106
60647,1812
11201,3467
11235,2042
11375,2036
37211,1398
60618,1651
20002,2269
28269,1507
79912,1236
11206,2710
73099,1201
90046,2705
20009,2504
78245,1268
60613,1626
28277,1616
60625,1457
60629,991
11209,2040
11221,2523
60610,2268
78704,1803
77077,1252
85032,1423
75287,1098
23464,1432
75243,1083
11207,2411
78745,1442
94110,3840
23462,1363
90034,2410
60611,2280
11211,3240
11377,1984
90805,1848
90044,2038
85710,1177
11238,2874
19143,1142
11215,2853
32210,1124
90026,2378
93722,1497
89108,1175
78240,1156
30318,1496
11385,2358
33647,1639
90066,2688
06902,2419
10468,1749
11373,1949
60620,1090
95823,1731
27610,1466
87120,1117
98103,1948
92804,1994
75228,1468
92126,2430
60634,1530
20011,1967
76244,1793
92503,1883
32218,1337
32256,1268
11233,2362
92101,2380
90019,2522
77095,1538
10457,1754
80634,1656
89117,1330
20001,2513
32244,1269
90004,2057
92109,2306
60628,1184
32822,1266
30331,1333
75217,1329
95123,2843
87121,1136
60649,1069
27703,1477
23454,1423
60626,1233
85705,975
33311,1669
90025,2856
43228,1042
11218,2168
27713,1397
77082,1253
11223,1780
60622,1982
60616,1924
20019,1816
80525,1557
90027,2201
98115,2094
19124,940
32225,1473
76116,1171
90731,2007
77007,1749
23452,1417
60615,1669
98122,1956
21215,1036
23451,1493
11225,2282
93306,1128
60641,1315
78249,1245
77057,1366
78254,1437
11101,3133
27707,1230
98133,1801
60660,1331
28205,1381
99208,1295
11213,2308
32246,1387
19120,934
27705,1435
30909,1081
28216,1377
78748,1427
76179,1600
78251,1191
78758,1412
28215,1446
92104,1950
37421,1473
60637,1500
30906,907
20020,1659
92154,2132
21224,1758
92618,2800
78741,1538
92115,2045
85022,1232
60608,1527
19104,1571
11216,2496
28227,1381
79924,917
92620,3177
78753,1311
19134,1067
73013,1349
53704,1077
43229,994
95112,2550
78253,1599
85008,1212
28210,1572
92130,3212
92105,1620
92122,2379
23455,1548
02135,2371
19148,1388
11354,2139
77070,1284
53711,1462
75204,1770
90036,2823
76137,1501
78759,1519
27603,1540
95125,3252
98109,2182
83709,1449
06511,1444
19131,1443
92117,2442
78209,1514
27106,1205
19144,1259
92128,2520
80219,1739
29229,1331
78223,1167
23456,1805
92805,2213
90042,2321
33308,2004
10466,1964
23225,1133
38016,1417
33312,1943
29414,1375
70119,1377
11374,2056
27606,1273
19146,1738
60639,1202
27616,1466
19145,1348
10473,2005
89129,1489
90006,1618
96817,1931
11210,2054
85254,1792
78258,1403
63116,805
27613,1354
75231,1313
19147,1797
87109,1206
43235,1126
11434,2038
90028,2566
94115,3478
93003,2086
98125,1732
38111,970
78250,1268
19149,1149
93312,1661
87112,1030
80918,1530
40214,948
90024,3388
77063,1307
28262,1355
76133,1431
37918,1172
67212,959
