City,State,Latitude,Longitude
Akron,OH,-79.1,38.76
Albuquerque,NM,-108,31.3
Allentown,PA,-72.3,37.76
Anaheim,CA,-121,30
Atlanta,GA,-82.7,30
Augusta,GA,-79.7,29.2
Austin,TX,-98,25.4
Bakersfield,CA,-122.6,31.6
Baltimore,MD,-73.3,36.7
Baton Rouge,LA,-89.6,25.7
Birmingham,AL,-85.4,29.8
Boise,ID,-119.5,41.9
Boston,MA,-66.7,40
Boulder,CO,-106.6,37.7
Buffalo,NY,-76,41
Charleston,SC,-78,28.5
Charlotte,NC,-78.5,31.5
Chattanooga,TN,-83.4,31.6
Chicago,IL,-86.1,39.8
Cincinnati,OH,-82.6,36.4
Cleveland,OH,-79.3,39.3
Colorado Springs,CO,-106.5,35.9
Columbia,SC,-78.5,30.3
Columbus,OH,-80.5,37.8
Dallas,TX,-97,28.9
Dayton,OH,-82,37.4
Denver,CO,-106.5,37
Des Moines,IA,-93,39.5
Detroit,MI,-81,40
Durham,NC,-76,32.7
El Paso,TX,-108,27.8
Fort Collins,CO,-106.4,38.2
Fort Lauderdale,FL,26.1412,-80.1464
Fort Worth,TX,32.7811,-97.3473
Fresno,CA,36.7831,-119.7941
Grand Rapids,MI,42.962,-85.6562
Greeley,CO,40.4151,-104.7706
Hartford,CT,41.7661,-72.6834
Honolulu,HI,21.3294,-157.846
Houston,TX,29.7863,-95.3889
Indianapolis,IN,39.7771,-86.1458
Irvine,CA,33.6772,-117.7738
Jackson,MS,32.3163,-90.2124
Jacksonville,FL,30.3322,-81.6749
Kansas City,MO,39.1239,-94.5541
Knoxville,TN,35.9692,-83.9496
Lakeland,FL,28.0556,-81.9545
Las Vegas,NV,36.2333,-115.2654
Little Rock,AR,34.7256,-92.3576
Long Beach,CA,33.7981,-118.1675
Los Angeles,CA,34.1139,-118.4068
Louisville,KY,38.1663,-85.6485
Madison,WI,43.0826,-89.3931
Memphis,TN,35.1046,-89.9773
Miami,FL,25.7839,-80.2102
Milwaukee,WI,43.0642,-87.9673
Minneapolis,MN,44.9635,-93.2678
Nashville,TN,36.1715,-86.7843
New Haven,CT,41.3112,-72.9246
New Orleans,LA,30.0687,-89.9288
New York,NY,40.6943,-73.9249
Oklahoma City,OK,35.4676,-97.5136
Omaha,NE,41.2627,-96.0522
Orlando,FL,28.4772,-81.3369
Philadelphia,PA,40.0077,-75.1339
Phoenix,AZ,33.5722,-112.0891
Pittsburgh,PA,40.4396,-79.9762
Portland,OR,45.5372,-122.65
Providence,RI,41.823,-71.4187
Provo,UT,40.2457,-111.6457
Raleigh,NC,35.8325,-78.6435
Richmond,VA,37.5295,-77.4756
Riverside,CA,33.9381,-117.3948
Rochester,NY,43.168,-77.6162
Sacramento,CA,38.5667,-121.4683
Salt Lake City,UT,40.7777,-111.9306
San Antonio,TX,29.4658,-98.5253
San Diego,CA,32.8312,-117.1225
San Francisco,CA,37.7562,-122.443
San Jose,CA,37.3019,-121.8486
Seattle,WA,47.6211,-122.3244
Spokane,WA,47.6671,-117.433
St. Louis,MO,38.6358,-90.2451
St. Paul,MN,44.9477,-93.104
Stamford,CT,41.1035,-73.5583
Stockton,CA,37.9765,-121.3109
Syracuse,NY,43.0409,-76.1438
Tampa,FL,27.9942,-82.4451
Toledo,OH,41.6639,-83.5822
Tucson,AZ,32.1545,-110.8782
Tulsa,OK,36.1284,-95.9042
Ventura,CA,34.2805,-119.2945
Virginia Beach,VA,36.7335,-76.0435
Washington,DC,38.9047,-77.0163
West Palm Beach,FL,26.7153,-80.0534
Wichita,KS,37.6896,-97.3442
Winston-Salem,NC,36.1029,-80.2611
Worcester,MA,42.2705,-71.8079
