City,State,Accountant,Administrative_Assistant,Mechanical_Engineer,Graphic_Designer,Project_Manager,Elementary_School_Teacher,Operations_Manager,Registered_Nurse,Human_Resources_Manager,Software_Engineer,Paralegal,Case_Manager,Account_Manager
Akron,OH,0,34765,67956,38281,73092,0,67407,59072,63187,74452,42500,58931,45146
Albuquerque,NM,50839,38974,80128,39443,74296,0,57461,68844,63603,81441,46000,50000,55982
Allentown,PA,54266,41637,76704,0,67299,0,75000,62519,65582,78025,42729,0,0
Anaheim,CA,52603,39975,72458,49637,75990,0,70640,72000,71685,80000,0,0,66313
Atlanta,GA,51964,38267,69270,47696,75996,48376,67028,65686,69466,81358,47813,40287,54208
Augusta,GA,40779,33945,67004,0,75143,0,67259,62549,61601,0,0,0,0
Austin,TX,53368,37700,72132,45767,74753,47561,62211,61345,69630,86475,50826,42098,52489
Bakersfield,CA,56449,33129,72208,0,74852,0,65051,87214,70074,0,42360,0,0
Baltimore,MD,54091,40271,71377,48436,77623,51908,69573,69600,72278,81043,47569,41513,54730
Baton Rouge,LA,54403,35554,77281,39384,64661,45232,60884,60607,66938,69381,42072,0,50783
Birmingham,AL,49197,38537,67312,37633,63715,40489,63580,60484,64771,67120,44962,40431,45964
Boise,ID,50562,35314,64026,42423,65557,0,58499,77039,60074,79674,46980,0,49745
Boston,MA,56064,45429,73805,51433,79034,48433,74350,75889,76954,93424,48584,49579,60509
Boulder,CO,49520,44995,75041,46380,75906,0,55731,75000,73205,84274,0,0,51042
Buffalo,NY,49733,33056,65335,42520,66222,46452,66134,60621,61796,68515,43626,42000,49856
Charleston,SC,49316,33429,70104,40607,65592,0,61013,58227,62591,81645,43182,0,40903
Charlotte,NC,49403,39782,69625,44566,74692,41922,66248,58968,66479,63598,47044,42603,52253
Chattanooga,TN,50564,32526,72016,40298,62147,40304,54778,61418,58071,84515,55496,0,0
Chicago,IL,56420,40853,71364,47808,76403,50570,67286,65741,74023,72860,50075,38432,56942
Cincinnati,OH,51617,42049,71271,40993,69207,43584,67249,60378,68345,69349,40909,35573,51358
Cleveland,OH,49378,38426,65839,42737,68053,38424,64001,65827,67276,76359,48110,33199,53415
Colorado Springs,CO,47724,35983,70136,43769,73670,39322,58746,64838,58424,67455,42494,42000,46515
Columbia,SC,46685,31864,64501,34620,70113,40137,64252,64978,58626,76753,42712,40825,47944
Columbus,OH,50303,41256,65808,45008,71743,41249,64840,64670,65789,79898,44028,40614,51418
Dallas,TX,53976,40509,68438,44911,76467,52627,68086,63903,70000,72724,55232,41009,55648
Dayton,OH,48264,38817,70337,44485,71813,40444,72400,60057,71049,0,42678,32914,50985
Denver,CO,52218,40916,71424,47520,74698,43832,67025,62480,69894,70436,50497,45411,54844
Des Moines,IA,50578,38892,67779,38258,70129,0,62335,53351,66681,77689,51288,0,46187
Detroit,MI,53034,41559,76570,43040,74989,41844,68158,66357,66749,84590,49544,44513,63542
Durham,NC,50175,37225,68400,44217,69964,0,60328,63673,60998,60327,0,0,59352
El Paso,TX,45597,34371,64910,30521,71431,49156,60297,63965,60629,78417,0,0,0
Fort Collins,CO,48190,39916,69899,46190,71404,0,55000,80792,60604,80983,0,0,50916
Fort Lauderdale,FL,51309,40040,78864,42596,70713,48672,63783,62695,66513,0,52854,46130,47874
Fort Worth,TX,58681,37122,66322,45314,76109,52198,66856,67005,63813,77752,53646,46432,49852
Fresno,CA,49932,37623,62192,37500,61576,46511,67696,77715,68757,71847,51879,35000,54225
Grand Rapids,MI,46526,33207,64600,40284,63564,40444,62304,62113,64233,67048,45000,33231,48364
Greeley,CO,0,41708,71686,0,0,0,58983,72952,0,57489,39737,0,0
Hartford,CT,53290,42296,66212,45604,86751,0,78482,68494,83775,72511,51489,47773,62567
Honolulu,HI,50414,46927,78821,45846,82765,50611,65260,81433,68561,87597,52223,42500,62400
Houston,TX,55865,41741,70467,46124,82590,53766,73491,70591,75673,0,45739,42627,60601
Indianapolis,IN,49506,39116,76033,39995,69298,43331,66496,58681,65250,77394,60103,40183,48810
Irvine,CA,59231,43253,0,50354,82520,0,73770,68722,74392,71037,39080,52054,60383
Jackson,MS,49428,32732,62757,35843,63764,0,60772,57767,61414,74286,45947,0,0
Jacksonville,FL,49338,35897,70488,41413,72137,39090,61122,63802,62834,77394,45239,48595,46858
Kansas City,MO,51665,34791,66899,41625,67324,39576,61805,60579,68446,72735,39305,35053,51618
Knoxville,TN,49993,34346,62492,35742,62816,0,60650,54499,60481,67341,0,32000,49494
Lakeland,FL,0,33500,62147,0,0,0,70418,63346,53676,92635,50303,0,0
Las Vegas,NV,51466,38494,78009,44671,73094,44991,60202,70447,60760,94348,0,42108,48337
Little Rock,AR,48411,32286,79088,40108,64627,0,63143,60821,59204,74934,57767,0,52610
Long Beach,CA,50000,44169,65348,47935,72264,0,77183,78092,69656,74388,61861,56500,59691
Los Angeles,CA,59285,44679,66712,53379,80309,53352,69243,78616,75895,77709,42053,42531,62007
Louisville,KY,48568,37948,72222,39462,67111,47689,64243,61107,63051,70730,51257,52426,48914
Madison,WI,54032,39381,61419,44399,66600,0,67605,71586,65958,77618,0,41120,57763
Memphis,TN,51807,37240,66608,39021,66456,49641,64612,66612,67190,76591,48356,62256,45842
