City,State,Zipcodes
Akron,OH,"44301, 44302, 44303, 44304, 44305, 44306, 44307, 44308, 44310, 44311, 44312, 44313, 44314, 44320"
Albuquerque,NM,"87102, 87104, 87106, 87107, 87108, 87109, 87110, 87111, 87112, 87113, 87114, 87116, 87117, 87120, 87121, 87122, 87123"
Allentown,PA,"18101, 18102, 18103, 18104, 18105, 18109"
Anaheim,CA,"92801, 92802, 92804, 92805, 92806, 92807, 92808"
Atlanta,GA,"30303, 30305, 30306, 30307, 30308, 30309, 30310, 30311, 30312, 30313, 30314, 30315, 30316, 30317, 30318, 30324, 30326, 30327, 30331, 30332, 30334, 30336, 30354, 30363"
Augusta,GA,"30901, 30904, 30905, 30906, 30909, 30912"
Austin,TX,"78701, 78702, 78703, 78704, 78705, 78712, 78717, 78719, 78721, 78722, 78723, 78724, 78726, 78727, 78730, 78731, 78732, 78733, 78735, 78736, 78739, 78741, 78742, 78744, 78745, 78746, 78747, 78748, 78749, 78750, 78751, 78752, 78753, 78754, 78756, 78757, 78758, 78759"
Bakersfield,CA,"93301, 93304, 93305, 93306, 93307, 93309, 93311, 93312, 93313"
Baltimore,MD,"21201, 21202, 21205, 21206, 21210, 21211, 21212, 21213, 21214, 21215, 21216, 21217, 21218, 21223, 21224, 21225, 21229, 21230, 21231, 21239, 21251"
Baton Rouge,LA,"70801, 70802, 70803, 70805, 70806, 70807, 70808, 70814, 70815, 70816, 70819, 70820"
Birmingham,AL,"35061, 35203, 35204, 35205, 35206, 35207, 35208, 35211, 35212, 35215, 35218, 35221, 35222, 35224, 35233, 35234, 35235, 35254"
Boise,ID,"83702, 83703, 83704, 83705, 83706, 83709, 83712, 83713, 83716"
Boston,MA,"02108, 02109, 02110, 02111, 02113, 02114, 02115, 02116, 02118, 02119, 02120, 02121, 02122, 02124, 02125, 02126, 02127, 02128, 02129, 02130, 02131, 02132, 02134, 02135, 02136, 02163, 02199, 02203, 02210, 02215"
Boulder,CO,"80301, 80302, 80303, 80304, 80305, 80310"
Buffalo,NY,"14201, 14202, 14203, 14204, 14206, 14207, 14208, 14209, 14210, 14211, 14212, 14213, 14214, 14215, 14216, 14220, 14222"
Charleston,SC,"29401, 29403, 29407, 29409, 29412, 29414, 29424, 29492"
Charlotte,NC,"28202, 28203, 28204, 28205, 28206, 28207, 28208, 28209, 28210, 28211, 28212, 28213, 28214, 28215, 28216, 28217, 28226, 28227, 28244, 28262, 28269, 28270, 28273, 28277, 28278, 28280, 28282"
Chattanooga,TN,"37343, 37351, 37402, 37403, 37404, 37405, 37406, 37407, 37408, 37409, 37410, 37411, 37415, 37416, 37419, 37421"
Chicago,IL,"60601, 60602, 60603, 60604, 60605, 60606, 60607, 60608, 60609, 60610, 60611, 60612, 60613, 60614, 60615, 60616, 60617, 60618, 60619, 60620, 60621, 60622, 60623, 60624, 60625, 60626, 60628, 60629, 60630, 60631, 60632, 60633, 60634, 60636, 60637, 60638, 60639, 60640, 60641, 60642, 60643, 60644, 60645, 60646, 60647, 60649, 60651, 60652, 60653, 60654, 60655, 60656, 60657, 60659, 60660, 60661"
Cincinnati,OH,"45202, 45203, 45204, 45205, 45206, 45207, 45208, 45209, 45211, 45213, 45214, 45216, 45219, 45220, 45223, 45224, 45225, 45226, 45227, 45229, 45232, 45237"
Cleveland,OH,"44101, 44102, 44103, 44104, 44105, 44106, 44108, 44109, 44110, 44111, 44113, 44114, 44115, 44119, 44120, 44127, 44128, 44135"
Colorado Springs,CO,"80903, 80904, 80905, 80906, 80907, 80909, 80910, 80914, 80916, 80917, 80918, 80919, 80920, 80921, 80922, 80923, 80924, 80927, 80929, 80938, 80951"
Columbia,SC,"29201, 29202, 29203, 29204, 29205, 29207, 29208, 29209, 29225, 29229"
